iter,err
234,7.551181901990854e-13
235,2.7787772083304435e-12
236,1.690869666505543e-12
237,1.216637901536218e-12
238,2.081668171172385e-13
239,9.776068843332038e-13
240,7.7543527154914e-13
241,1.550093386982845e-12
242,6.195599588922606e-13
243,6.026845689179479e-13
244,8.980038934676547e-13
245,3.708144902247335e-13
246,8.990030941898164e-13
247,8.280043317657846e-13
248,6.931677454249567e-13
249,1.3990475444823697e-12
250,4.557465516087307e-13
251,1.0703660180405405e-12
252,3.7292391397152056e-13
253,3.3151259515312667e-13
254,2.6401103525589706e-13
255,2.7472468744345727e-13
256,5.852540674313225e-13
257,6.111222639051041e-13
258,2.7511326550215166e-13
259,1.453281939233274e-12
260,1.9724777367022295e-12
261,9.137690604181525e-13
262,1.1179945857969076e-12
263,1.3212209104542947e-12
264,8.898992653886901e-13
265,3.0153657348823795e-13
266,1.007804950602978e-12
267,6.16229289818383e-13
268,8.109624083371167e-13
269,6.473710456587193e-13
270,4.2021941482053345e-13
271,1.9069190670979872e-12
272,2.0005108680700687e-12
273,2.0619062013359664e-12
274,3.0558888752802764e-13
275,7.407963131808614e-13
276,1.0455525334401945e-12
277,2.685629496568614e-13
278,1.211364342169242e-12
279,6.47315534507907e-13
280,5.583311590838353e-13
281,5.728750807067449e-13
282,5.415667914120047e-13
283,6.452061107607016e-13
284,4.685141163919258e-13
285,2.748912208972265e-13
286,3.84747789183922e-13
287,1.6825429938208402e-12
288,1.0509371151096209e-12
289,7.850387007127564e-13
290,2.243816243916155e-12
291,7.134293156238711e-13
292,5.100919686641582e-13
293,1.3441470159145803e-12
294,2.0006774015277647e-12
295,1.2588263764704415e-12
296,1.7610357616588727e-12
297,7.136513602293053e-13
298,5.805911307275571e-13
299,1.0461076449536008e-12
300,1.5798473640417225e-13
301,1.8810508706206337e-12
302,3.7497782656721695e-13
303,9.267586698062788e-13
304,5.506151090629979e-13
305,7.135403379263336e-13
306,3.832489881006775e-13
307,9.555134461431846e-13
308,6.802891583392961e-13
309,1.1975975766638735e-12
310,4.102274075989112e-13
311,1.0726419752410196e-12
312,8.072431612046255e-13
313,6.362688154124748e-13
314,3.6692870963868154e-13
315,7.323031070424852e-13
316,1.8388623956883375e-12
317,7.100431353992709e-13
318,9.361400543634938e-13
319,4.488631688560515e-13
320,9.814371537681567e-13
321,8.731904088680669e-13
322,2.4757973449110343e-12
323,2.518651953667802e-12
324,3.7125857943458343e-13
325,3.976263762695789e-13
326,9.804934641972264e-13
327,1.2111422975643167e-12
328,3.3750779948610454e-13
329,2.5207613774111004e-13
330,1.3098966356048488e-12
331,1.08840714219068e-12
332,4.684030940892439e-13
333,2.0544677070686411e-13
334,1.13853371175245e-12
335,4.201083925182475e-13
336,1.2573275753887802e-12
337,1.2695955398092918e-12
338,1.2451706332691196e-12
339,9.637290965254027e-13
340,8.130163209326716e-13
341,3.5188518765500526e-13
342,3.0953017926554156e-13
343,2.625122341726527e-13
344,5.918043832762646e-13
345,2.360334150352804e-13
346,2.2232216068116288e-13
347,1.322331133480667e-12
348,4.410360965322462e-13
349,2.143840660551407e-13
350,5.759281940244658e-13
351,1.25688348617735e-12
352,6.023515020105601e-13
353,1.1628475959917128e-12
354,4.591327318336281e-13
355,6.435962873754103e-13
356,2.1777024628024816e-13
357,9.97757432231126e-13
358,1.856848008685402e-13
359,3.4999780851314184e-13
360,2.9681812563349153e-13
361,2.4297230893918597e-13
362,2.219890937738247e-13
363,4.388156504831894e-13
364,1.7385537454102525e-12
365,1.0333400801703984e-12
366,5.123679258643785e-13
367,9.670042544480438e-13
368,1.3600232051659092e-13
369,6.832312493545548e-13
370,5.984657214243698e-13
371,1.2083112288515192e-12
372,6.834532939594799e-13
373,1.828537321555961e-12
374,1.6842083283565043e-13
375,2.3178681196584842e-12
376,1.4537260284452366e-12
377,5.881961584465809e-13
378,3.6171066142281057e-13
379,3.97681887420652e-13
380,5.335176744834767e-13
381,8.072986723558567e-13
382,8.356648706357045e-13
383,1.0398348848644622e-12
384,4.4336756488415456e-13
385,6.009637232294167e-13
386,1.8163248682865913e-13
387,3.874678355942547e-13
388,6.845635169836372e-13
389,3.4849900742989737e-13
390,4.791167462768715e-13
391,2.2132295995900047e-13
392,1.1384226894512836e-12
393,1.0059730826123483e-12
394,3.0486724256211443e-13
395,1.401101457075966e-12
396,3.760325384406112e-13
397,1.0257350524517082e-12
398,7.465139617576766e-13
399,5.220268661788848e-13
400,7.028266857392023e-13
401,7.954192859923771e-13
402,2.9704017023850476e-13
403,8.903433545985406e-13
404,3.797517855731069e-13
405,6.241673844440682e-13
406,2.9715119254096727e-13
407,1.4255263636188027e-13
408,7.272515922804443e-13
409,1.1358691764933526e-12
410,7.779332733545446e-13
411,5.883071807486974e-13
412,2.424171974269323e-13
413,3.904099266093601e-13
414,1.3890555372607293e-12
415,7.187028749913534e-13
416,3.774314194508559e-12
417,1.2990164499635082e-12
418,9.386935673210105e-13
419,5.132005931331103e-13
420,3.765876499527822e-13
421,9.323097849285406e-13
422,2.791655795420346e-13
423,1.8779422461532758e-13
424,4.1894265834239057e-13
425,1.240452185412918e-12
426,4.827249711069015e-13
427,1.789235426487503e-12
428,3.864131237208604e-13
429,1.2989054276610454e-12
430,1.2154721673603601e-12
431,2.262912079939665e-12
432,4.7128967395349e-13
433,1.6878165531878186e-12
434,3.2235325519996615e-13
435,1.4622192345814933e-12
436,4.561351296671416e-13
437,3.9024339315581866e-13
438,5.883626919002748e-13
439,2.249866959403133e-13
440,4.762856775640788e-13
441,1.7196799539916576e-12
442,3.9774294968787645e-12
443,1.8876011864659096e-12
444,4.887201754398745e-13
445,7.93809462607302e-13
446,3.6143310566678504e-13
447,6.527556273281477e-13
448,9.599543382426024e-13
449,7.143730051948018e-13
450,2.0780044351887463e-12
451,9.341971640712744e-13
452,5.279110482094013e-13
453,1.4254708524684857e-12
454,4.938827125046229e-13
455,3.0381253068862794e-13
456,2.6850743850555806e-13
457,3.6876057762931375e-13
458,1.1252110354576595e-13
459,2.476352456426105e-13
460,3.4205971388706924e-13
461,3.5955127764062647e-12
462,1.1711742686763918e-12
463,3.1391556021271374e-13
464,3.965716643961846e-13
465,9.033884751370818e-13
466,6.969425037081992e-13
467,1.5932255514870616e-12
468,3.731459585764455e-13
469,9.914291609897732e-13
470,8.518186156440142e-13
471,5.775935285614045e-13
472,2.4580337765203985e-13
473,3.971822870595709e-13
474,3.830824546468369e-13
475,2.4835689060861667e-13
476,4.2765790908570173e-13
477,3.238520562831057e-13
478,1.7597034940307184e-13
479,4.953260024366363e-13
480,6.445954880975736e-13
481,6.625811010960739e-13
482,1.1584622150457907e-12
483,2.212119376565869e-13
484,6.813438702126907e-13
485,1.4888090760224457e-13
486,8.766876113948706e-13
487,1.4954149030177364e-12
488,4.803935027554206e-13
489,1.0016987239685491e-12
490,5.832556659866558e-13
491,3.6082248300324095e-13
492,1.598499110856578e-12
493,1.4965806371935912e-12
494,6.047384815135056e-13
495,4.0095704534345566e-13
496,7.817635427901095e-13
497,7.850942118633713e-13
498,3.7192471324935827e-13
499,3.699818229564019e-13
500,7.98250354705169e-13
