eighs
8
8
8
9
8
25
7
7
7
12
7
9
7
7
7
9
7
7
7
7
8
7
9
8
9
7
8
12
7
15
11
8
7
8
7
8
7
7
7
8
8
10
8
8
8
8
14
7
7
7
10
9
7
9
9
8
8
7
7
13
7
7
8
8
8
7
9
8
7
8
9
9
8
7
7
10
7
8
7
9
7
16
9
8
8
19
8
7
8
11
8
8
7
7
7
8
8
7
7
19
11
8
7
7
8
9
13
7
7
7
8
8
7
7
9
11
7
15
8
7
7
8
10
8
7
8
18
9
7
7
7
8
8
7
9
7
7
8
7
12
7
7
9
8
14
7
7
8
7
8
7
7
7
7
7
9
11
8
9
7
15
8
70
10
7
8
7
8
7
7
7
7
10
7
9
7
11
7
7
8
7
7
7
7
9
7
8
7
7
7
7
8
7
7
8
7
12
7
8
8
8
8
8
7
8
7
9
7
16
13
8
24
7
9
8
7
10
32
28
7
8
7
7
8
11
7
97
7
8
8
7
14
14
8
116
7
8
8
9
8
8
31
7
7
8
7
8
7
8
7
8
7
7
7
12
8
7
8
18
8
8
8
8
8
7
9
8
7
9
8
14
10
7
8
7
7
7
7
8
7
7
9
7
16
8
7
7
7
8
7
8
8
8
7
8
12
7
9
7
8
8
8
7
7
8
159
7
7
8
8
8
8
8
7
7
16
7
8
7
8
8
8
7
12
8
7
11
10
7
13
7
8
8
8
7
32
8
7
10
8
7
8
8
11
8
8
7
8
8
8
8
7
9
8
8
9
7
16
8
8
7
7
8
8
7
8
7
7
8
10
7
7
7
8
30
7
7
8
11
8
7
8
7
8
9
8
8
17
7
7
8
7
7
9
7
7
7
9
8
8
7
7
8
8
8
7
7
7
8
7
7
8
7
13
7
9
8
7
14
7
7
9
7
8
9
8
11
7
18
9
7
8
8
8
8
8
7
7
9
7
8
7
7
8
8
7
8
7
10
8
7
24
7
7
7
9
7
9
10
11
8
7
19
7
7
8
8
8
27
8
12
8
7
41
8
27
8
8
8
7
8
7
7
7
11
8
7
8
9
7
7
8
54
8
9
9
7
7
7
7
