lmin,iters
0.8371077117403375,16
0.3404105386223102,69
0.08852519860837625,313
0.8639898860742821,14
0.21192233320036102,121
0.06615269090733142,412
0.8581895304975657,13
0.21984900050182166,114
0.06127018960330255,469
0.8510717467600049,15
0.2509847122387213,99
0.12412187605117239,193
0.8603638473184019,14
0.3259208082884173,75
0.07672969014499711,361
0.8549346718121889,15
0.2515649323263933,96
0.1028015854921148,250
0.8527502162504841,15
0.3161526656169239,74
0.05663101838654687,489
0.8657959273280568,14
0.22402662698701287,112
0.056826846375986645,478
0.8592959371385147,14
0.22141134213642516,112
0.1492401485139877,178
0.8548468308728954,15
0.24559545809785543,100
0.04929448510520949,564
0.8622816267784724,14
0.22163599333442746,111
0.047125370971232955,553
0.8524113684413529,15
0.23839398186462807,106
0.04462624615316575,593
0.8608085722802263,14
0.2627160637288417,94
0.12936164398002717,197
0.8168384040368438,17
0.3000944870031593,82
0.06465104119139618,434
0.8555035236323543,14
0.24736462979513568,102
0.0880705377439624,301
0.8369353986362598,15
0.37631032834472344,61
0.05086260197812103,541
0.8307009414879654,16
0.291950941744877,84
0.05002122479825703,553
0.8456269015333433,15
0.2841589493624195,80
0.13414418505682296,199
0.8569699230290332,15
0.22914829103643564,106
0.05347535502220703,529
0.865762137253659,14
0.37572635235846585,61
0.08978002926681102,296
0.8563386074192002,14
0.28620998777590545,85
0.18241146965052263,138
0.8424557745138332,16
0.34304307428179004,69
0.06496940821424754,430
0.8522270254975739,14
0.4198249888785016,52
0.05608407739750901,499
0.8564534990624256,14
0.27245396282109524,87
0.05726705007584507,485
0.8578947026930532,13
0.2706701996801486,92
0.18663580471063673,141
0.8611902849308927,14
0.33090621249040475,72
0.09416138578120448,270
0.8511942115530039,15
0.4282300258567985,55
0.03953963905229319,734
0.8471390047076681,15
0.24119324273194487,102
0.04817211766204403,585
0.8636920115086232,14
0.24556811294888475,102
0.28141259852385747,86
0.8682262047045416,14
0.3644702080076534,63
0.25471026193437873,93
0.863721773349476,14
0.23311706317562866,105
0.0551926517729775,499
0.8553836760025265,14
0.23571500572918624,106
0.055476463794405156,502
0.848200281759075,14
0.22001407136031043,116
0.08237842966141537,328
0.8415553806535875,16
0.2857709713222646,90
0.1527021189878976,160
0.862400754568881,14
0.21655933782978637,118
0.056673713939993736,481
0.8523863409741549,15
0.24820410043872165,93
0.1189959323083768,192
0.8349685787065362,16
0.31481924673302386,76
0.2522408027183032,99
0.8528955706289811,14
0.20751255529449592,120
0.05053080436077771,555
0.8676138020416149,13
0.22258182149446362,111
0.1676683929522224,156
0.8454113281102527,15
0.3167192715291509,75
0.18754028452848687,136
0.8528220468663024,15
0.3047913947470632,80
0.08614277327399947,318
0.8433300149389258,15
0.2787397780289712,88
0.08296623780126079,316
0.8602634762004623,14
0.34962153332663815,66
0.06548171044915008,381
0.8333357670052609,16
0.2844405085905144,88
0.20691168690697082,121
0.8601325691954553,14
0.23891695793577933,106
0.04707451315303275,595
0.8453101481589576,15
0.2937864854887172,76
0.052942566037072376,528
0.8460619105235502,15
0.2852278266214383,87
0.161263566950165,159
0.8518606047893347,15
0.21065608543575098,115
0.14546204868176063,177
0.8618779073571975,14
0.27556864161121797,88
0.062431073964300796,421
0.8609531084978402,14
0.26074749604612935,94
0.052866270035609605,540
0.8462746509976045,15
0.25815146970561553,94
0.12055014993901128,219
0.8551718261235596,14
0.3548500211648359,68
0.12458413549953545,218
0.8557125234637549,14
0.24006825139435448,105
0.09613224530659732,279
0.8469232945723058,14
0.2578511042812427,95
0.1489288047838747,181
0.858516792358768,14
0.22987508764415848,111
0.0641858358468114,435
0.844435979579929,15
0.3355755382457679,71
0.0492931046794987,541
0.8630740528242443,14
0.3654464925768164,63
0.057064959879523425,499
0.8486038238479904,15
0.34632199098984184,65
0.07940065591141411,335
0.8424000769811333,15
0.2626050648456044,95
0.056646455245417254,488
0.8498639854690155,15
0.22141944483694426,114
0.09582180978587973,274
0.8567604240267963,14
0.28945638076210145,82
0.09889409706583292,268
0.8553755935144153,15
0.3238152098128193,73
0.04984255945013107,512
0.8538372930118155,14
0.2392704183417754,103
0.05940434091685746,478
0.8591954276437603,15
0.28139193645243027,86
0.05368480051493653,528
0.8671555729928221,14
0.25341185619245343,102
