design,draw,method,eighs,converged
factor_n100,19,broyden,16,1
factor_n100,19,newton,7,1
factor_n100,19,fpn,7,1
factor_n100,20,fp,130,1
factor_n100,20,broyden,16,1
factor_n100,20,newton,7,1
factor_n100,20,fpn,7,1
factor_n100,21,fp,132,1
factor_n100,21,broyden,17,1
factor_n100,21,newton,7,1
factor_n100,21,fpn,7,1
factor_n100,22,fp,124,1
factor_n100,22,broyden,16,1
factor_n100,22,newton,7,1
factor_n100,22,fpn,7,1
factor_n100,23,fp,127,1
factor_n100,23,broyden,16,1
factor_n100,23,newton,7,1
factor_n100,23,fpn,7,1
factor_n100,24,fp,106,1
factor_n100,24,broyden,15,1
factor_n100,24,newton,7,1
factor_n100,24,fpn,7,1
factor_n100,25,fp,101,1
factor_n100,25,broyden,15,1
factor_n100,25,newton,7,1
factor_n100,25,fpn,7,1
z_sd4_n50,1,fp,1092,1
z_sd4_n50,1,broyden,502,0
z_sd4_n50,1,newton,17,1
z_sd4_n50,1,fpn,12,1
z_sd4_n50,2,fp,1054,1
z_sd4_n50,2,broyden,502,0
z_sd4_n50,2,newton,21,1
z_sd4_n50,2,fpn,16,1
z_sd4_n50,3,fp,1035,1
z_sd4_n50,3,broyden,502,0
z_sd4_n50,3,newton,30,1
z_sd4_n50,3,fpn,17,1
z_sd4_n50,4,fp,1231,1
z_sd4_n50,4,broyden,502,0
z_sd4_n50,4,newton,35,1
z_sd4_n50,4,fpn,12,1
z_sd4_n50,5,fp,1180,1
z_sd4_n50,5,broyden,502,0
z_sd4_n50,5,newton,33,1
z_sd4_n50,5,fpn,17,1
z_sd4_n50,6,fp,995,1
z_sd4_n50,6,broyden,502,0
z_sd4_n50,6,newton,22,1
z_sd4_n50,6,fpn,13,1
z_sd4_n50,7,fp,965,1
z_sd4_n50,7,broyden,502,0
z_sd4_n50,7,newton,20,1
z_sd4_n50,7,fpn,12,1
z_sd4_n50,8,fp,1112,1
z_sd4_n50,8,broyden,502,0
z_sd4_n50,8,newton,33,1
z_sd4_n50,8,fpn,15,1
z_sd4_n50,9,fp,840,1
z_sd4_n50,9,broyden,502,0
z_sd4_n50,9,newton,20,1
z_sd4_n50,9,fpn,12,1
z_sd4_n50,10,fp,1155,1
z_sd4_n50,10,broyden,502,0
z_sd4_n50,10,newton,29,1
z_sd4_n50,10,fpn,14,1
z_sd4_n50,11,fp,915,1
z_sd4_n50,11,broyden,502,0
z_sd4_n50,11,newton,28,1
z_sd4_n50,11,fpn,14,1
z_sd4_n50,12,fp,874,1
z_sd4_n50,12,broyden,502,0
z_sd4_n50,12,newton,25,1
z_sd4_n50,12,fpn,14,1
z_sd4_n50,13,fp,998,1
z_sd4_n50,13,broyden,502,0
z_sd4_n50,13,newton,23,1
z_sd4_n50,13,fpn,14,1
z_sd4_n50,14,fp,1125,1
z_sd4_n50,14,broyden,502,0
z_sd4_n50,14,newton,17,1
z_sd4_n50,14,fpn,17,1
z_sd4_n50,15,fp,889,1
z_sd4_n50,15,broyden,502,0
z_sd4_n50,15,newton,19,1
z_sd4_n50,15,fpn,13,1
z_sd4_n50,16,fp,1056,1
z_sd4_n50,16,broyden,502,0
z_sd4_n50,16,newton,20,1
z_sd4_n50,16,fpn,16,1
z_sd4_n50,17,fp,898,1
z_sd4_n50,17,broyden,502,0
z_sd4_n50,17,newton,18,1
z_sd4_n50,17,fpn,12,1
z_sd4_n50,18,fp,955,1
z_sd4_n50,18,broyden,502,0
z_sd4_n50,18,newton,18,1
z_sd4_n50,18,fpn,11,1
z_sd4_n50,19,fp,893,1
z_sd4_n50,19,broyden,502,0
z_sd4_n50,19,newton,22,1
z_sd4_n50,19,fpn,14,1
z_sd4_n50,20,fp,885,1
z_sd4_n50,20,broyden,55,1
z_sd4_n50,20,newton,17,1
z_sd4_n50,20,fpn,11,1
z_sd4_n50,21,fp,1072,1
z_sd4_n50,21,broyden,502,0
z_sd4_n50,21,newton,18,1
z_sd4_n50,21,fpn,13,1
z_sd4_n50,22,fp,1179,1
z_sd4_n50,22,broyden,502,0
z_sd4_n50,22,newton,28,1
z_sd4_n50,22,fpn,13,1
z_sd4_n50,23,fp,1121,1
z_sd4_n50,23,broyden,502,0
z_sd4_n50,23,newton,28,1
z_sd4_n50,23,fpn,14,1
z_sd4_n50,24,fp,893,1
z_sd4_n50,24,broyden,502,0
z_sd4_n50,24,newton,17,1
z_sd4_n50,24,fpn,14,1
z_sd4_n50,25,fp,1102,1
z_sd4_n50,25,broyden,502,0
z_sd4_n50,25,newton,25,1
z_sd4_n50,25,fpn,15,1
